text;label
"""Saya merasa tegang ketika ada kritik membangun dari guru.""";1
"""Tegang ini membuat saya merasa tidak nyaman saat berada di situasi sosial.""";1
"""Saya merasa santai saat belajar dengan teman-teman.""";0
"""Berbicara di depan kelas membuat saya merasa percaya diri dan tenang.""";0
"""Saya merasa tenang ketika menyelesaikan tugas tepat waktu.""";0
"""Menghabiskan waktu di alam membuat saya merasa bebas dari ketegangan.""";0
"""Saya merasa nyaman saat melakukan presentasi.""";0
"""Mendengarkan musik sambil belajar membuat saya merasa santai.""";0
"""Saya merasa yakin saat mengikuti ujian.""";0
"""Berkumpul dengan teman-teman memberi saya rasa nyaman dan tenang.""";0
"""Saya dapat tidur nyenyak tanpa ada rasa tegang.""";0
"""Saya merasa lega setelah menyelesaikan tugas yang sulit.""";0
"""Berolahraga membuat saya merasa lebih segar dan tidak tegang.""";0
"""Saya merasa optimis saat menghadapi ujian.""";0
"""Menulis di jurnal membantu saya merasa lebih tenang.""";0
"""Saya merasa bangga saat mendapatkan nilai baik tanpa merasa tertekan.""";0
"""Saya bisa menikmati waktu sendiri tanpa merasa kesepian.""";0
"""Berbicara dengan guru membuat saya merasa lebih baik dan tidak tegang.""";0
"""Kehadiran teman-teman membuat saya merasa lebih bahagia.""";0
"""Saya merasa siap menghadapi ujian setelah belajar dengan baik.""";0
"""Saya bisa bersantai sambil menikmati hobi saya.""";0
"""Kegiatan ekstrakurikuler membantu saya merasa lebih percaya diri.""";0
"""Saya merasa tenang saat menunggu giliran untuk berbicara.""";0
"""Menghadiri acara sosial membuat saya merasa bersemangat dan tidak tegang.""";0
"""Saya bisa mengatasi stres dengan baik saat bersama teman-teman.""";0
"""Saya merasa nyaman saat berbicara dengan orang baru.""";0
"""Saya dapat beristirahat dengan tenang setelah menyelesaikan pekerjaan.""";0
"""Saya merasa tenang saat mengikuti kelas baru.""";0
"""Berfokus pada hal-hal positif membuat saya merasa lebih baik.""";0
"""Saya merasa tidak tertekan saat menjalani rutinitas harian.""";0
"""Saya bisa tersenyum dan menikmati hidup tanpa merasa cemas.""";0
"""Kegiatan relaksasi membantu saya merasa lebih tenang.""";0
"""Saya merasa nyaman saat berdiskusi dengan teman-teman.""";0
"""Saya merasa lebih baik setelah berbagi cerita dengan orang terdekat.""";0
"""Menghabiskan waktu dengan keluarga memberi saya rasa tenang.""";0
"""Saya bisa menikmati setiap momen tanpa merasa cemas.""";0
"""Kehadiran hewan peliharaan membuat saya merasa bahagia dan santai.""";0
"""Saya merasa berenergi setelah berolahraga.""";0
"""Saya merasa lebih baik setelah meditasi.""";0
"""Saya merasa tenang saat menghadapi situasi yang menantang.""";0
"""Saya merasa puas dengan pencapaian saya tanpa merasa tertekan.""";0
"""Saya merasa nyaman saat mengikuti kegiatan kelompok.""";0
"""Saya bisa bersantai di rumah tanpa rasa cemas.""";0
"""Saya merasa tenang saat melihat teman-teman berhasil.""";0
"""Saya bisa menghadapi masalah dengan kepala dingin.""";0
"""Saya merasa tenang saat mendengarkan cerita inspiratif.""";0
"""Kegiatan yang menyenangkan membuat saya merasa lebih baik.""";0
"""Saya merasa kelelahan setelah belajar berjam-jam tanpa henti.""";1
"""Kelelahan menghampiri saya saat harus mengerjakan tugas tepat waktu.""";1
"""Saya merasa sangat lelah setelah berolahraga tanpa istirahat.""";1
"""Kelelahan ini membuat saya sulit berkonsentrasi pada pelajaran.""";1
"""Saya merasa kelelahan mental setelah menghadapi banyak tekanan di sekolah.""";1
"""Ada rasa kelelahan ketika saya tidak mendapatkan cukup tidur.""";1
"""Saya merasa lelah setelah mengikuti kegiatan ekstrakurikuler yang padat.""";1
"""Kelelahan membuat saya kehilangan semangat untuk belajar.""";1
"""Saya merasa kelelahan setelah mengerjakan tugas hingga larut malam.""";1
"""Kelelahan ini membuat saya tidak ingin melakukan aktivitas apapun.""";1
"""Saya merasa kelelahan saat harus mempersiapkan ujian dengan terburu-buru.""";1
"""Kelelahan mengganggu tidur saya dan membuat saya merasa tidak segar.""";1
"""Saya merasa lelah saat harus menjalani rutinitas yang monoton.""";1
"""Kelelahan ini sering kali membuat saya merasa emosional.""";1
"""Saya merasa sangat lelah setelah seharian beraktivitas.""";1
"""Ada rasa kelelahan yang menyelimuti saya ketika tidak ada waktu untuk bersantai.""";1
"""Kelelahan fisik ini membuat saya sulit untuk fokus.""";1
"""Saya merasa kelelahan setelah berpergian jauh tanpa istirahat.""";1
"""Kelelahan mental sering membuat saya merasa tertekan.""";1
"""Saya merasa lelah setelah mengikuti banyak kegiatan dalam satu hari.""";1
"""Kelelahan ini membuat saya ingin tidur lebih awal.""";1
"""Saya merasa kelelahan ketika harus mengerjakan proyek yang besar.""";1
"""Ada rasa kelelahan saat menghadapi banyak tugas yang bersamaan.""";1
"""Kelelahan membuat saya tidak bisa menikmati waktu bersama teman-teman.""";1
"""Saya merasa lelah setelah menghadapi situasi yang penuh tekanan.""";1
"""Kelelahan ini kadang membuat saya merasa putus asa.""";1
"""Saya merasa sangat kelelahan setelah berlatih olahraga intensif.""";1
"""Kelelahan mental ini membuat saya sulit untuk bersosialisasi.""";1
"""Saya merasa lelah setelah seharian belajar tanpa jeda.""";1
"""Kelelahan membuat saya merasa tidak berdaya di akhir minggu.""";1
"""Saya merasa kelelahan saat harus menghadapi banyak tanggung jawab.""";1
"""Kelelahan fisik ini membuat saya merasa malas bergerak.""";1
"""Ada rasa kelelahan ketika saya harus bangun terlalu pagi.""";1
"""Saya merasa lelah setelah terjaga semalaman.""";1
"""Kelelahan ini sering kali membuat saya tidak bisa fokus saat belajar.""";1
"""Saya merasa kelelahan ketika tidak ada waktu untuk beristirahat.""";1
"""Kelelahan mental membuat saya merasa tidak termotivasi.""";1
"""Saya merasa sangat lelah setelah mengikuti kegiatan seminar sepanjang hari.""";1
"""Kelelahan ini membuat saya kehilangan minat pada hobi yang biasanya saya nikmati.""";1
"""Saya merasa kelelahan ketika harus berpikir keras untuk menyelesaikan tugas.""";1
"""Kelelahan membuat saya sulit untuk menikmati waktu luang.""";1
"""Saya merasa lelah saat harus mengikuti rapat yang panjang.""";1
"""Kelelahan ini membuat saya tidak bisa berpikir jernih.""";1
"""Saya merasa kelelahan ketika tidak ada waktu untuk bersantai dan bersenang-senang.""";1
"""Kelelahan fisik dan mental sering kali membuat saya merasa terasing.""";1
"""Saya merasa lelah ketika menghadapi konflik yang berkepanjangan.""";1
"""Kelelahan ini membuat saya merasa cemas akan tugas yang belum selesai.""";1
"""Saya merasa sangat lelah setelah menjalani kegiatan yang sangat padat.""";1
"""Saya merasa segar dan bertenaga setelah tidur yang nyenyak.""";0
"""Tidak merasa lelah membuat saya lebih produktif saat belajar.""";0
"""Saya merasa energik setelah berolahraga di pagi hari.""";0
"""Saya bisa fokus dan tidak merasa lelah saat belajar bersama teman.""";0
"""Beristirahat sejenak membuat saya merasa lebih baik dan tidak lelah.""";0
"""Saya merasa bertenaga setelah mengikuti kegiatan ekstrakurikuler.""";0
"""Tidur cukup membuat saya merasa siap menghadapi hari.""";0
"""Saya merasa segar setelah menikmati waktu santai.""";0
"""Saya merasa tidak lelah setelah menyelesaikan tugas tepat waktu.""";0
"""Berkumpul dengan teman-teman memberi saya energi positif.""";0
"""Saya merasa segar setelah beristirahat sejenak dari belajar.""";0
"""Saya tidak merasa lelah setelah melakukan aktivitas yang saya nikmati.""";0
"""Kegiatan yang menyenangkan membuat saya merasa lebih berenergi.""";0
"""Saya merasa tidak lelah setelah menghabiskan waktu di luar rumah.""";0
"""Saya merasa bertenaga setelah mengikuti kelas yang menarik.""";0
"""Berolahraga membuat saya merasa lebih segar dan siap beraktivitas.""";0
"""Saya merasa tidak lelah saat menghadapi tantangan baru.""";0
"""Kegiatan relaksasi membantu saya merasa lebih tenang dan bertenaga.""";0
"""Saya merasa tidak ada yang perlu dikhawatirkan saat bersantai di rumah.""";0
"""Saya merasa tidak lelah setelah menghabiskan waktu berkualitas dengan keluarga.""";0
"""Saya bisa mengatasi stres dengan baik dan merasa tidak lelah.""";0
"""Kehadiran teman-teman membuat saya merasa energik dan bahagia.""";0
"""Saya merasa tenang dan tidak lelah setelah meditasi.""";0
"""Saya bisa menikmati waktu santai tanpa merasa lelah.""";0
"""Saya merasa bertenaga setelah menghabiskan waktu di alam.""";0
"""Saya tidak merasa lelah setelah berfokus pada hal-hal positif.""";0
"""Saya merasa tidak lelah setelah menyelesaikan pekerjaan dengan baik.""";0
"""Berbicara dengan orang terdekat membuat saya merasa lebih baik dan energik.""";0
"""Saya merasa segar setelah melakukan aktivitas fisik yang ringan.""";0
"""Saya tidak merasa lelah saat melakukan hobi yang saya cintai.""";0
"""Saya merasa nyaman dan tidak lelah saat mengikuti pelajaran.""";0
"""Saya merasa tenang dan tidak lelah saat menghadapi situasi baru.""";0
"""Saya bisa bersantai dan merasa tidak lelah setelah seharian bekerja.""";0
"""Saya merasa bertenaga setelah menghabiskan waktu dengan teman-teman.""";0
"""Saya tidak merasa lelah saat menjalani rutinitas yang menyenangkan.""";0
"""Saya merasa segar setelah mengikuti sesi yoga.""";0
"""Saya merasa tidak lelah setelah menjalani aktivitas yang menyenangkan.""";0
"""Saya merasa penuh energi setelah mengikuti seminar yang menginspirasi.""";0
"""Kehadiran hewan peliharaan membuat saya merasa lebih baik dan tidak lelah.""";0
"""Saya merasa tidak lelah ketika bisa berbagi cerita dengan orang lain.""";0
"""Saya merasa bersemangat dan tidak lelah saat mengejar impian.""";0
"""Saya merasa bertenaga saat menjalani hidup dengan positif.""";0
"""Saya merasa tidak lelah saat menjalani rutinitas yang teratur.""";0
"""Saya merasa penuh energi dan siap menghadapi tantangan baru.""";0
"""Saya bisa menikmati setiap momen tanpa merasa lelah.""";0
"""Saya merasa tidak lelah saat melakukan aktivitas yang menyenangkan.""";0
"""Saya merasa optimis dan penuh semangat untuk menjalani hari.""";0
"""Saya merasa frustrasi ketika tugas tidak sesuai harapan.""";1
"""Frustrasi menghampiri saya saat tidak bisa memahami pelajaran.""";1
"""Saya merasa sangat frustrasi ketika deadline tugas semakin dekat.""";1
"""Ada rasa frustrasi ketika harus menghadapi kritik dari guru.""";1
"""Frustrasi ini membuat saya sulit berkonsentrasi pada pelajaran.""";1
"""Saya merasa frustrasi ketika tidak bisa menemukan solusi untuk masalah.""";1
"""Frustrasi muncul saat saya tidak mendapatkan dukungan dari teman-teman.""";1
"""Saya merasa frustrasi ketika harus mengulang tugas yang sama.""";1
"""Rasa frustrasi ini membuat saya ingin menyerah.""";1
"""Saya merasa frustrasi saat tidak bisa mencapai target yang telah ditetapkan.""";1
"""Frustrasi membuat saya merasa tidak berdaya dalam menghadapi ujian.""";1
"""Saya merasa sangat frustrasi ketika hasil ujian tidak memuaskan.""";1
"""Ada rasa frustrasi saat menghadapi banyak tugas yang bersamaan.""";1
"""Frustrasi ini membuat saya merasa lelah secara mental.""";1
"""Saya merasa frustrasi saat harus mendengarkan pembicaraan yang membingungkan.""";1
"""Saya merasa frustrasi ketika teman sekelas tidak kooperatif dalam kelompok.""";1
"""Frustrasi ini membuat saya tidak bisa menikmati waktu santai.""";1
"""Saya merasa frustrasi ketika tidak bisa mendapatkan waktu istirahat yang cukup.""";1
"""Ada rasa frustrasi saat tidak bisa menyelesaikan tugas tepat waktu.""";1
"""Saya merasa frustrasi ketika harus menghadapi situasi yang tidak terduga.""";1
"""Frustrasi ini membuat saya merasa tidak termotivasi untuk belajar.""";1
"""Saya merasa frustrasi ketika ada kesalahan dalam tugas yang saya kirim.""";1
"""Rasa frustrasi ini muncul ketika saya tidak bisa fokus pada pelajaran.""";1
"""Saya merasa frustrasi saat harus berdebat dengan teman yang tidak sepakat.""";1
"""Frustrasi ini membuat saya merasa tertekan sebelum ujian.""";1
"""Saya merasa sangat frustrasi ketika harus belajar untuk ujian yang sulit.""";1
"""Ada rasa frustrasi saat mendapatkan umpan balik negatif dari guru.""";1
"""Saya merasa frustrasi ketika tidak ada waktu untuk menyelesaikan proyek.""";1
"""Frustrasi ini membuat saya merasa tidak puas dengan diri sendiri.""";1
"""Saya merasa frustrasi ketika teman-teman tidak mengerti masalah yang saya hadapi.""";1
"""Ada rasa frustrasi saat melihat orang lain lebih sukses.""";1
"""Frustrasi ini muncul ketika saya harus menghadapi tugas yang membosankan.""";1
"""Saya merasa frustrasi saat tidak bisa mengendalikan situasi di sekitar.""";1
"""Saya merasa frustrasi ketika harus berurusan dengan administrasi yang rumit.""";1
"""Rasa frustrasi ini membuat saya merasa terasing dari teman-teman.""";1
"""Saya merasa frustrasi saat menghadapi masalah yang seharusnya mudah.""";1
"""Frustrasi ini muncul ketika saya tidak bisa berkomunikasi dengan jelas.""";1
"""Saya merasa sangat frustrasi ketika tidak bisa mencapai tujuan yang telah ditentukan.""";1
"""Ada rasa frustrasi saat tidak bisa mengatur waktu dengan baik.""";1
"""Frustrasi ini membuat saya merasa tidak bersemangat untuk belajar.""";1
"""Saya merasa frustrasi ketika harus mengikuti aturan yang tidak masuk akal.""";1
"""Saya merasa frustrasi ketika harus menyelesaikan tugas yang terlalu banyak.""";1
"""Saya merasa tenang dan percaya diri saat belajar.""";0
"""Tidak ada rasa frustrasi saat saya bisa memahami pelajaran dengan baik.""";0
"""Berbicara dengan teman membuat saya merasa lebih baik dan tidak frustrasi.""";0
"""Saya merasa tenang saat menyelesaikan tugas dengan tepat waktu.""";0
"""Saya tidak merasa frustrasi ketika menghadapi tantangan baru.""";0
"""Saya merasa optimis dan tidak frustrasi saat belajar untuk ujian.""";0
"""Saya merasa tenang ketika ada dukungan dari teman-teman.""";0
"""Tidak merasa frustrasi membuat saya lebih produktif saat belajar.""";0
"""Saya merasa nyaman saat mengerjakan proyek kelompok.""";0
"""Saya bisa menikmati waktu belajar tanpa merasa tertekan.""";0
"""Saya merasa tidak frustrasi ketika semua rencana berjalan sesuai harapan.""";0
"""Saya merasa tenang saat mendapatkan umpan balik yang positif.""";0
"""Saya merasa bertenaga dan tidak frustrasi saat melakukan hobi.""";0
"""Saya merasa puas saat bisa membantu teman yang membutuhkan.""";0
"""Berolahraga membuat saya merasa lebih baik dan tidak frustrasi.""";0
"""Saya merasa tidak frustrasi saat mengikuti kelas yang menarik.""";0
"""Saya merasa yakin dan tenang menghadapi ujian.""";0
"""Saya bisa bersantai dan tidak merasa frustrasi setelah menyelesaikan tugas.""";0
"""Saya merasa optimis saat melihat kemajuan yang telah saya buat.""";0
"""Kegiatan ekstrakurikuler memberi saya semangat dan tidak frustrasi.""";0
"""Saya merasa senang saat bekerja sama dengan teman-teman.""";0
"""Saya bisa belajar dengan baik tanpa merasa frustrasi.""";0
"""Saya merasa bertenaga dan tidak frustrasi saat menjalani rutinitas harian.""";0
"""Saya merasa tidak frustrasi saat menyelesaikan tugas dengan baik.""";0
"""Saya bisa menikmati waktu santai tanpa rasa stres.""";0
"""Saya merasa tenang saat menjalani hidup dengan positif.""";0
"""Saya merasa optimis dan tidak frustrasi saat mengikuti seminar.""";0
"""Kehadiran hewan peliharaan membuat saya merasa lebih baik.""";0
"""Saya bisa mengatasi masalah dengan kepala dingin.""";0
"""Saya merasa bertenaga setelah beristirahat dengan baik.""";0
"""Saya tidak merasa frustrasi saat melakukan aktivitas yang saya cintai.""";0
"""Saya merasa nyaman saat mengikuti diskusi kelas.""";0
"""Saya merasa tidak ada yang perlu dikhawatirkan saat bersama teman-teman.""";0
"""Saya merasa puas dengan pencapaian yang saya raih.""";0
"""Saya merasa tenang dan tidak frustrasi saat merencanakan kegiatan.""";0
"""Saya merasa energik setelah menyelesaikan tugas dengan baik.""";0
"""Saya bisa menikmati setiap momen tanpa merasa frustrasi.""";0
"""Saya merasa optimis dan tidak frustrasi saat menghadapi ujian.""";0
"""Saya merasa nyaman saat belajar di lingkungan yang mendukung.""";0
"""Saya merasa tenang dan percaya diri saat berbicara di depan kelas.""";0
"""Saya merasa terbebani oleh banyaknya tugas yang harus diselesaikan.""";1
"""Ada rasa terbebani ketika harus memenuhi ekspektasi orang tua.""";1
"""Saya merasa sangat terbebani ketika deadline semakin dekat.""";1
"""Tugas kelompok ini membuat saya merasa terbebani.""";1
"""Saya merasa terbebani saat harus beradaptasi dengan lingkungan baru.""";1
"""Keharusan untuk selalu berprestasi membuat saya merasa terbebani.""";1
"""Saya merasa terbebani oleh banyaknya informasi yang harus dipahami.""";1
"""Ada rasa terbebani ketika harus membantu teman yang selalu meminta bantuan.""";1
"""Saya merasa terbebani saat tidak mendapatkan dukungan dari orang lain.""";1
"""Tugas yang menumpuk membuat saya merasa terbebani dan stres.""";1
"""Saya merasa terbebani oleh tanggung jawab yang diberikan di sekolah.""";1
"""Ada rasa terbebani ketika harus mempersiapkan presentasi yang sulit.""";1
"""Saya merasa terbebani oleh banyaknya kegiatan ekstrakurikuler.""";1
"""Saya merasa terbebani saat menghadapi banyak ujian secara bersamaan.""";1
"""Khawatir tidak bisa memenuhi harapan orang lain membuat saya merasa terbebani.""";1
"""Saya merasa terbebani ketika harus mengejar nilai yang tinggi.""";1
"""Ada rasa terbebani saat harus belajar untuk ujian yang sulit.""";1
"""Saya merasa terbebani oleh komentar negatif dari teman.""";1
"""Tugas akhir semester ini membuat saya merasa sangat terbebani.""";1
"""Saya merasa terbebani saat harus menghadapi kritik dari guru.""";1
"""Kekhawatiran tentang masa depan membuat saya merasa terbebani.""";1
"""Saya merasa terbebani saat harus mengatur waktu dengan banyak tanggung jawab.""";1
"""Ada rasa terbebani ketika harus menyelesaikan proyek yang kompleks.""";1
"""Saya merasa terbebani ketika melihat teman-teman lebih cepat memahami pelajaran.""";1
"""Keterpaksaan untuk selalu tampil baik membuat saya merasa terbebani.""";1
"""Saya merasa terbebani saat harus berhadapan dengan masalah yang sulit.""";1
"""Ada rasa terbebani ketika harus membagi waktu antara belajar dan bersosialisasi.""";1
"""Saya merasa terbebani oleh ekspektasi diri sendiri yang terlalu tinggi.""";1
"""Tugas yang tidak jelas membuat saya merasa terbebani dan bingung.""";1
"""Saya merasa terbebani ketika tidak ada waktu untuk beristirahat.""";1
"""Ada rasa terbebani saat harus berurusan dengan administrasi yang rumit.""";1
"""Saya merasa terbebani ketika harus menjelaskan sesuatu kepada orang lain.""";1
